method,n,ar,df,rho,SNR,rep,mse
huber,200,0.8,2.0,0.2,10,0,0.052972975346441145
linear,200,0.8,2.0,0.2,10,1,11.653546947373808
quantile,200,0.8,2.0,0.2,10,1,0.1330787331120334
huber,200,0.8,2.0,0.2,10,1,0.10235311148790723
linear,200,0.8,2.0,0.2,10,2,0.08922156587289508
quantile,200,0.8,2.0,0.2,10,2,0.09901992548587837
huber,200,0.8,2.0,0.2,10,2,0.07819098106774182
linear,200,0.8,2.0,0.2,10,3,0.306391156440981
quantile,200,0.8,2.0,0.2,10,3,0.17477295182027128
huber,200,0.8,2.0,0.2,10,3,0.13353534310205367
linear,200,0.8,2.0,0.2,10,4,0.28184610417685974
quantile,200,0.8,2.0,0.2,10,4,0.11506707599705954
huber,200,0.8,2.0,0.2,10,4,0.0788706707956244
linear,200,0.8,2.0,0.2,10,5,0.15868133091398343
quantile,200,0.8,2.0,0.2,10,5,0.12031600126910354
huber,200,0.8,2.0,0.2,10,5,0.10092172517013173
linear,200,0.8,2.0,0.2,10,6,0.1732164907336109
quantile,200,0.8,2.0,0.2,10,6,0.15449009741386877
huber,200,0.8,2.0,0.2,10,6,0.11724731448890235
linear,200,0.8,2.0,0.2,10,7,0.13263807507924272
quantile,200,0.8,2.0,0.2,10,7,0.11751187713650713
huber,200,0.8,2.0,0.2,10,7,0.08659346573997784
linear,200,0.8,2.0,0.2,10,8,0.098219829177106
quantile,200,0.8,2.0,0.2,10,8,0.09641851790774617
huber,200,0.8,2.0,0.2,10,8,0.08703625807433713
linear,200,0.8,2.0,0.2,10,9,0.10599456918706403
quantile,200,0.8,2.0,0.2,10,9,0.14707875338649865
huber,200,0.8,2.0,0.2,10,9,0.09779398891867844
linear,200,0.8,2.0,0.2,10,10,0.11296814738901154
quantile,200,0.8,2.0,0.2,10,10,0.0889848006892082
huber,200,0.8,2.0,0.2,10,10,0.075282633229766
linear,200,0.8,2.0,0.2,10,11,0.20146132954775164
quantile,200,0.8,2.0,0.2,10,11,0.2572584539106385
huber,200,0.8,2.0,0.2,10,11,0.18171610280610775
linear,200,0.8,2.0,0.2,10,12,0.10918681463080804
quantile,200,0.8,2.0,0.2,10,12,0.10661691866206731
huber,200,0.8,2.0,0.2,10,12,0.07380006460440625
linear,200,0.8,2.0,0.2,10,13,0.10797707571059378
quantile,200,0.8,2.0,0.2,10,13,0.14827046297539356
huber,200,0.8,2.0,0.2,10,13,0.12850105973638448
linear,200,0.8,2.0,0.2,10,14,0.15839448938574216
quantile,200,0.8,2.0,0.2,10,14,0.14546486044114568
huber,200,0.8,2.0,0.2,10,14,0.12655988497949205
linear,200,0.8,2.0,0.2,10,15,0.23969638972505286
quantile,200,0.8,2.0,0.2,10,15,0.10654584532057823
huber,200,0.8,2.0,0.2,10,15,0.07574045650074632
linear,200,0.8,2.0,0.2,10,16,0.09506066899240727
quantile,200,0.8,2.0,0.2,10,16,0.131667723504946
huber,200,0.8,2.0,0.2,10,16,0.061500539901675345
linear,200,0.8,2.0,0.2,10,17,0.16494524126673368
quantile,200,0.8,2.0,0.2,10,17,0.11167819878971659
huber,200,0.8,2.0,0.2,10,17,0.09940266619619564
linear,200,0.8,2.0,0.2,10,18,0.19867356998548763
quantile,200,0.8,2.0,0.2,10,18,0.17848427841684084
huber,200,0.8,2.0,0.2,10,18,0.16630185185900476
linear,200,0.8,2.0,0.2,10,19,0.06878731627373857
quantile,200,0.8,2.0,0.2,10,19,0.07698194874857095
huber,200,0.8,2.0,0.2,10,19,0.06606994435580305
linear,200,0.8,2.0,0.2,10,20,0.12724672692866076
quantile,200,0.8,2.0,0.2,10,20,0.1759837589732686
huber,200,0.8,2.0,0.2,10,20,0.12760599302622574
linear,200,0.8,2.0,0.2,10,21,0.11099488833311169
quantile,200,0.8,2.0,0.2,10,21,0.10213889762491565
huber,200,0.8,2.0,0.2,10,21,0.09603902582077618
linear,200,0.8,2.0,0.2,10,22,0.1545169280606144
quantile,200,0.8,2.0,0.2,10,22,0.09571121388451796
huber,200,0.8,2.0,0.2,10,22,0.08565677021712073
linear,200,0.8,2.0,0.2,10,23,0.17809028092129653
quantile,200,0.8,2.0,0.2,10,23,0.17114396458949627
huber,200,0.8,2.0,0.2,10,23,0.12555174035978006
linear,200,0.8,2.0,0.2,10,24,0.07577516553989572
quantile,200,0.8,2.0,0.2,10,24,0.0703730357184035
huber,200,0.8,2.0,0.2,10,24,0.05898251974076694
linear,200,0.8,2.0,0.2,10,25,0.25524209140314075
quantile,200,0.8,2.0,0.2,10,25,0.3283860364750484
huber,200,0.8,2.0,0.2,10,25,0.22925456291554996
linear,200,0.8,2.0,0.2,10,26,0.4442449734310503
quantile,200,0.8,2.0,0.2,10,26,0.23821118781784162
huber,200,0.8,2.0,0.2,10,26,0.14718143289135882
linear,200,0.8,2.0,0.2,10,27,0.0947160131164255
quantile,200,0.8,2.0,0.2,10,27,0.08818680645106998
huber,200,0.8,2.0,0.2,10,27,0.079619507916499
linear,200,0.8,2.0,0.2,10,28,0.12418774278497505
quantile,200,0.8,2.0,0.2,10,28,0.10608808743774445
huber,200,0.8,2.0,0.2,10,28,0.09201511182175465
linear,200,0.8,2.0,0.2,10,29,0.19509895929575044
quantile,200,0.8,2.0,0.2,10,29,0.17628463484652207
huber,200,0.8,2.0,0.2,10,29,0.1155046562325778
linear,200,0.8,3.0,0.2,1,0,0.023031201588502963
quantile,200,0.8,3.0,0.2,1,0,0.024087008741555626
huber,200,0.8,3.0,0.2,1,0,0.01636184616590035
linear,200,0.8,3.0,0.2,1,1,0.01982736045298816
quantile,200,0.8,3.0,0.2,1,1,0.02750823053000188
huber,200,0.8,3.0,0.2,1,1,0.021463057785607146
linear,200,0.8,3.0,0.2,1,2,0.02423809359429837
quantile,200,0.8,3.0,0.2,1,2,0.02677008034054231
huber,200,0.8,3.0,0.2,1,2,0.021693969926040932
linear,200,0.8,3.0,0.2,1,3,0.01743160279451756
quantile,200,0.8,3.0,0.2,1,3,0.023323899237546873
huber,200,0.8,3.0,0.2,1,3,0.02259662187300025
linear,200,0.8,3.0,0.2,1,4,0.02501414747451597
quantile,200,0.8,3.0,0.2,1,4,0.028070719901884013
huber,200,0.8,3.0,0.2,1,4,0.01957896982544332
linear,200,0.8,3.0,0.2,1,5,0.01790079289724957
quantile,200,0.8,3.0,0.2,1,5,0.02884174239494376
huber,200,0.8,3.0,0.2,1,5,0.015255220481905127
linear,200,0.8,3.0,0.2,1,6,0.04801264982258798
quantile,200,0.8,3.0,0.2,1,6,0.0551284751033969
huber,200,0.8,3.0,0.2,1,6,0.043341773232537434
linear,200,0.8,3.0,0.2,1,7,0.022655988793563092
quantile,200,0.8,3.0,0.2,1,7,0.01784900533756175
huber,200,0.8,3.0,0.2,1,7,0.01719452412128326
linear,200,0.8,3.0,0.2,1,8,0.019803965742703704
quantile,200,0.8,3.0,0.2,1,8,0.021978062937312876
huber,200,0.8,3.0,0.2,1,8,0.015093788572670557
linear,200,0.8,3.0,0.2,1,9,0.031430605149492884
quantile,200,0.8,3.0,0.2,1,9,0.023986370430189287
huber,200,0.8,3.0,0.2,1,9,0.019921901710867447
linear,200,0.8,3.0,0.2,1,10,0.018042354232727507
quantile,200,0.8,3.0,0.2,1,10,0.02165046322383327
huber,200,0.8,3.0,0.2,1,10,0.018126836101837
linear,200,0.8,3.0,0.2,1,11,0.018371585044042966
quantile,200,0.8,3.0,0.2,1,11,0.028353224170250813
huber,200,0.8,3.0,0.2,1,11,0.02347863369944908
linear,200,0.8,3.0,0.2,1,12,0.01413750605593676
quantile,200,0.8,3.0,0.2,1,12,0.01951863866127658
huber,200,0.8,3.0,0.2,1,12,0.013874251821314198
linear,200,0.8,3.0,0.2,1,13,0.054674989176457155
quantile,200,0.8,3.0,0.2,1,13,0.030379284075589746
huber,200,0.8,3.0,0.2,1,13,0.024482736865758404
linear,200,0.8,3.0,0.2,1,14,0.022185341663354143
quantile,200,0.8,3.0,0.2,1,14,0.028314680200904684
huber,200,0.8,3.0,0.2,1,14,0.02615439761169545
linear,200,0.8,3.0,0.2,1,15,0.025556435813928767
quantile,200,0.8,3.0,0.2,1,15,0.03135942675441132
huber,200,0.8,3.0,0.2,1,15,0.015134380377431603
linear,200,0.8,3.0,0.2,1,16,0.018611060664493077
quantile,200,0.8,3.0,0.2,1,16,0.017013158179849115
huber,200,0.8,3.0,0.2,1,16,0.016515545956119888
linear,200,0.8,3.0,0.2,1,17,0.013081225799627044
quantile,200,0.8,3.0,0.2,1,17,0.02204107189695736
huber,200,0.8,3.0,0.2,1,17,0.014504901241995266
linear,200,0.8,3.0,0.2,1,18,0.02093351777043983
quantile,200,0.8,3.0,0.2,1,18,0.022591538130802623
huber,200,0.8,3.0,0.2,1,18,0.015326799010545584
linear,200,0.8,3.0,0.2,1,19,0.014852946298870027
quantile,200,0.8,3.0,0.2,1,19,0.019287314943801103
huber,200,0.8,3.0,0.2,1,19,0.015535245338325626
linear,200,0.8,3.0,0.2,1,20,0.05487669339376093
quantile,200,0.8,3.0,0.2,1,20,0.05809287079921588
huber,200,0.8,3.0,0.2,1,20,0.046014801886411626
linear,200,0.8,3.0,0.2,1,21,0.019799518264231424
quantile,200,0.8,3.0,0.2,1,21,0.025896827870629448
huber,200,0.8,3.0,0.2,1,21,0.015515949363123204
linear,200,0.8,3.0,0.2,1,22,0.013085229917041492
quantile,200,0.8,3.0,0.2,1,22,0.015869836904912393
huber,200,0.8,3.0,0.2,1,22,0.01399993769795844
linear,200,0.8,3.0,0.2,1,23,0.03796209189794304
quantile,200,0.8,3.0,0.2,1,23,0.04546360130476071
huber,200,0.8,3.0,0.2,1,23,0.029171681076191246
linear,200,0.8,3.0,0.2,1,24,0.03553854576930399
quantile,200,0.8,3.0,0.2,1,24,0.039833462544002655
huber,200,0.8,3.0,0.2,1,24,0.03619935329802497
linear,200,0.8,3.0,0.2,1,25,0.048165220615071794
quantile,200,0.8,3.0,0.2,1,25,0.042955816334488084
huber,200,0.8,3.0,0.2,1,25,0.038788737653792635
linear,200,0.8,3.0,0.2,1,26,0.019720329443083003
quantile,200,0.8,3.0,0.2,1,26,0.016311340499264033
huber,200,0.8,3.0,0.2,1,26,0.014911847343473669
linear,200,0.8,3.0,0.2,1,27,0.03231049904077742
quantile,200,0.8,3.0,0.2,1,27,0.04198560585533906
huber,200,0.8,3.0,0.2,1,27,0.03276705866631807
linear,200,0.8,3.0,0.2,1,28,0.044058281612363304
quantile,200,0.8,3.0,0.2,1,28,0.03513285484238422
huber,200,0.8,3.0,0.2,1,28,0.024567750577964807
linear,200,0.8,3.0,0.2,1,29,0.024184668551904088
quantile,200,0.8,3.0,0.2,1,29,0.03549091531213601
huber,200,0.8,3.0,0.2,1,29,0.019596978974987907
linear,200,0.8,3.0,0.2,5,0,0.027090495854324558
quantile,200,0.8,3.0,0.2,5,0,0.04472271663781188
huber,200,0.8,3.0,0.2,5,0,0.026177256841878514
linear,200,0.8,3.0,0.2,5,1,0.036386729975967105
quantile,200,0.8,3.0,0.2,5,1,0.036622421667572624
huber,200,0.8,3.0,0.2,5,1,0.031056112039464095
linear,200,0.8,3.0,0.2,5,2,0.037337856442635764
quantile,200,0.8,3.0,0.2,5,2,0.03380280170592707
huber,200,0.8,3.0,0.2,5,2,0.03074624009833185
linear,200,0.8,3.0,0.2,5,3,0.02735424072070411
quantile,200,0.8,3.0,0.2,5,3,0.03074904599814946
huber,200,0.8,3.0,0.2,5,3,0.02000126645972089
linear,200,0.8,3.0,0.2,5,4,0.018556091243450774
quantile,200,0.8,3.0,0.2,5,4,0.026707902814805083
huber,200,0.8,3.0,0.2,5,4,0.020458877689266648
linear,200,0.8,3.0,0.2,5,5,0.02484703003202244
quantile,200,0.8,3.0,0.2,5,5,0.026469610373727824
huber,200,0.8,3.0,0.2,5,5,0.021789259246104996
linear,200,0.8,3.0,0.2,5,6,0.021614093213046533
quantile,200,0.8,3.0,0.2,5,6,0.029607601253018527
huber,200,0.8,3.0,0.2,5,6,0.019515435378334278
linear,200,0.8,3.0,0.2,5,7,0.021218453151588816
quantile,200,0.8,3.0,0.2,5,7,0.03370102166301075
huber,200,0.8,3.0,0.2,5,7,0.028094770135803936
linear,200,0.8,3.0,0.2,5,8,0.026611799087994457
quantile,200,0.8,3.0,0.2,5,8,0.024516258070010163
huber,200,0.8,3.0,0.2,5,8,0.02072785261134649
linear,200,0.8,3.0,0.2,5,9,0.0264495712506038
quantile,200,0.8,3.0,0.2,5,9,0.03084597014629935
huber,200,0.8,3.0,0.2,5,9,0.023718525961692667
linear,200,0.8,3.0,0.2,5,10,0.024429685553807888
quantile,200,0.8,3.0,0.2,5,10,0.04546062721645296
huber,200,0.8,3.0,0.2,5,10,0.03311075117331667
linear,200,0.8,3.0,0.2,5,11,0.024595554761598436
quantile,200,0.8,3.0,0.2,5,11,0.026501348016809274
huber,200,0.8,3.0,0.2,5,11,0.025542087189933275
linear,200,0.8,3.0,0.2,5,12,0.02555563067703941
quantile,200,0.8,3.0,0.2,5,12,0.03194901902793827
huber,200,0.8,3.0,0.2,5,12,0.03037816138467333
linear,200,0.8,3.0,0.2,5,13,0.026971875892456715
quantile,200,0.8,3.0,0.2,5,13,0.034042336669772286
huber,200,0.8,3.0,0.2,5,13,0.025112594392452354
linear,200,0.8,3.0,0.2,5,14,0.06001697528913894
quantile,200,0.8,3.0,0.2,5,14,0.06523870668284279
huber,200,0.8,3.0,0.2,5,14,0.0582176553583031
linear,200,0.8,3.0,0.2,5,15,0.022200778415359577
quantile,200,0.8,3.0,0.2,5,15,0.02221178959166733
huber,200,0.8,3.0,0.2,5,15,0.021060715279522507
linear,200,0.8,3.0,0.2,5,16,0.023962727966085697
quantile,200,0.8,3.0,0.2,5,16,0.033531796209516906
huber,200,0.8,3.0,0.2,5,16,0.0240735677190848
linear,200,0.8,3.0,0.2,5,17,0.033984279244308066
quantile,200,0.8,3.0,0.2,5,17,0.03563982964462638
huber,200,0.8,3.0,0.2,5,17,0.033086618616337396
linear,200,0.8,3.0,0.2,5,18,0.03117065225398121
quantile,200,0.8,3.0,0.2,5,18,0.023553977919665355
huber,200,0.8,3.0,0.2,5,18,0.019908586703437564
linear,200,0.8,3.0,0.2,5,19,0.018008545132444636
quantile,200,0.8,3.0,0.2,5,19,0.028829725942050438
huber,200,0.8,3.0,0.2,5,19,0.021906526367692726
linear,200,0.8,3.0,0.2,5,20,0.021715671428085684
quantile,200,0.8,3.0,0.2,5,20,0.027345677389922867
huber,200,0.8,3.0,0.2,5,20,0.01698182927884425
linear,200,0.8,3.0,0.2,5,21,0.019413659911921694
quantile,200,0.8,3.0,0.2,5,21,0.02832546348931665
huber,200,0.8,3.0,0.2,5,21,0.02438582082152494
linear,200,0.8,3.0,0.2,5,22,0.018224483806295398
quantile,200,0.8,3.0,0.2,5,22,0.021943563376930507
huber,200,0.8,3.0,0.2,5,22,0.014696090719549276
linear,200,0.8,3.0,0.2,5,23,0.0203973912212261
quantile,200,0.8,3.0,0.2,5,23,0.026226195847050566
huber,200,0.8,3.0,0.2,5,23,0.020552246849890096
linear,200,0.8,3.0,0.2,5,24,0.013062748113579584
quantile,200,0.8,3.0,0.2,5,24,0.018108302343471588
huber,200,0.8,3.0,0.2,5,24,0.012405745636383348
linear,200,0.8,3.0,0.2,5,25,0.03734694574156219
quantile,200,0.8,3.0,0.2,5,25,0.03453660663403657
huber,200,0.8,3.0,0.2,5,25,0.02551376957224636
linear,200,0.8,3.0,0.2,5,26,0.010812746298405012
quantile,200,0.8,3.0,0.2,5,26,0.0192470533760569
huber,200,0.8,3.0,0.2,5,26,0.01567741061739062
linear,200,0.8,3.0,0.2,5,27,0.03534814579544497
quantile,200,0.8,3.0,0.2,5,27,0.04392227563774649
huber,200,0.8,3.0,0.2,5,27,0.03139440525795305
linear,200,0.8,3.0,0.2,5,28,0.014527714352979382
quantile,200,0.8,3.0,0.2,5,28,0.01753843551146237
huber,200,0.8,3.0,0.2,5,28,0.016279479372537705
linear,200,0.8,3.0,0.2,5,29,0.01303546180974927
quantile,200,0.8,3.0,0.2,5,29,0.01607219543308317
huber,200,0.8,3.0,0.2,5,29,0.013474890373394855
linear,200,0.8,3.0,0.2,10,0,0.026258463881480953
quantile,200,0.8,3.0,0.2,10,0,0.03791428751747673
huber,200,0.8,3.0,0.2,10,0,0.030171072359969457
linear,200,0.8,3.0,0.2,10,1,0.03612987943816599
quantile,200,0.8,3.0,0.2,10,1,0.05526782496676785
huber,200,0.8,3.0,0.2,10,1,0.04580293791918255
linear,200,0.8,3.0,0.2,10,2,0.030055616051985944
quantile,200,0.8,3.0,0.2,10,2,0.03246635939124419
huber,200,0.8,3.0,0.2,10,2,0.02622806561862494
linear,200,0.8,3.0,0.2,10,3,0.022710488213106703
quantile,200,0.8,3.0,0.2,10,3,0.034561889338727544
huber,200,0.8,3.0,0.2,10,3,0.025065972490887746
linear,200,0.8,3.0,0.2,10,4,0.03963635458414171
quantile,200,0.8,3.0,0.2,10,4,0.04489944658400068
huber,200,0.8,3.0,0.2,10,4,0.039709662541868515
linear,200,0.8,3.0,0.2,10,5,0.015245442400214776
quantile,200,0.8,3.0,0.2,10,5,0.026219008829038565
huber,200,0.8,3.0,0.2,10,5,0.01884888253973232
linear,200,0.8,3.0,0.2,10,6,0.018030170643496764
quantile,200,0.8,3.0,0.2,10,6,0.021919904037350384
huber,200,0.8,3.0,0.2,10,6,0.019544497576343682
linear,200,0.8,3.0,0.2,10,7,0.022361225539482978
quantile,200,0.8,3.0,0.2,10,7,0.018390769156396317
huber,200,0.8,3.0,0.2,10,7,0.018005219759810343
linear,200,0.8,3.0,0.2,10,8,0.015548893445788753
quantile,200,0.8,3.0,0.2,10,8,0.02207871683314508
huber,200,0.8,3.0,0.2,10,8,0.01759217849830513
linear,200,0.8,3.0,0.2,10,9,0.035696769751563245
quantile,200,0.8,3.0,0.2,10,9,0.029348562047318096
huber,200,0.8,3.0,0.2,10,9,0.016848625276341383
linear,200,0.8,3.0,0.2,10,10,0.04225659600297292
quantile,200,0.8,3.0,0.2,10,10,0.03076808092236365
huber,200,0.8,3.0,0.2,10,10,0.029192491462100074
linear,200,0.8,3.0,0.2,10,11,0.03144853601815593
quantile,200,0.8,3.0,0.2,10,11,0.025807717020232445
huber,200,0.8,3.0,0.2,10,11,0.021361349184221855
linear,200,0.8,3.0,0.2,10,12,0.024082173442003252
quantile,200,0.8,3.0,0.2,10,12,0.022809507649898735
huber,200,0.8,3.0,0.2,10,12,0.01548875293331391
linear,200,0.8,3.0,0.2,10,13,0.016020327018722913
quantile,200,0.8,3.0,0.2,10,13,0.017999774773571658
huber,200,0.8,3.0,0.2,10,13,0.014717197281661255
linear,200,0.8,3.0,0.2,10,14,0.01927389189079909
quantile,200,0.8,3.0,0.2,10,14,0.01731561247286862
huber,200,0.8,3.0,0.2,10,14,0.015304517166568688
linear,200,0.8,3.0,0.2,10,15,0.03863253079941793
quantile,200,0.8,3.0,0.2,10,15,0.043309876368324715
huber,200,0.8,3.0,0.2,10,15,0.034261734452929384
linear,200,0.8,3.0,0.2,10,16,0.0464757567990776
quantile,200,0.8,3.0,0.2,10,16,0.06140763615464408
huber,200,0.8,3.0,0.2,10,16,0.03458015351796593
linear,200,0.8,3.0,0.2,10,17,0.030745413032865786
quantile,200,0.8,3.0,0.2,10,17,0.024426250553971893
huber,200,0.8,3.0,0.2,10,17,0.021589250007243113
linear,200,0.8,3.0,0.2,10,18,0.018219794086271956
quantile,200,0.8,3.0,0.2,10,18,0.028588431675508424
huber,200,0.8,3.0,0.2,10,18,0.028105290536162862
linear,200,0.8,3.0,0.2,10,19,0.04512417003264855
quantile,200,0.8,3.0,0.2,10,19,0.021862461497934183
huber,200,0.8,3.0,0.2,10,19,0.018766279531131008
linear,200,0.8,3.0,0.2,10,20,0.01896293423546718
quantile,200,0.8,3.0,0.2,10,20,0.03060268310878391
huber,200,0.8,3.0,0.2,10,20,0.025430005754881933
linear,200,0.8,3.0,0.2,10,21,0.025814240491480824
quantile,200,0.8,3.0,0.2,10,21,0.029960407242136868
huber,200,0.8,3.0,0.2,10,21,0.020428958748396613
linear,200,0.8,3.0,0.2,10,22,0.028448345467944457
quantile,200,0.8,3.0,0.2,10,22,0.03261553744195844
huber,200,0.8,3.0,0.2,10,22,0.028363197959793095
linear,200,0.8,3.0,0.2,10,23,0.021271879606326212
quantile,200,0.8,3.0,0.2,10,23,0.02948319822886028
huber,200,0.8,3.0,0.2,10,23,0.021624060810101868
linear,200,0.8,3.0,0.2,10,24,0.019027511151539517
quantile,200,0.8,3.0,0.2,10,24,0.03345394672381445
huber,200,0.8,3.0,0.2,10,24,0.023906147055042386
linear,200,0.8,3.0,0.2,10,25,0.017658115234808817
quantile,200,0.8,3.0,0.2,10,25,0.025037120223311338
huber,200,0.8,3.0,0.2,10,25,0.0122908350789926
linear,200,0.8,3.0,0.2,10,26,0.03557644863615899
quantile,200,0.8,3.0,0.2,10,26,0.06059224151408686
huber,200,0.8,3.0,0.2,10,26,0.04481675118204158
linear,200,0.8,3.0,0.2,10,27,0.029408548881721543
quantile,200,0.8,3.0,0.2,10,27,0.023220953378704542
huber,200,0.8,3.0,0.2,10,27,0.020133910866096522
linear,200,0.8,3.0,0.2,10,28,0.05771537423208957
quantile,200,0.8,3.0,0.2,10,28,0.042192473178975384
huber,200,0.8,3.0,0.2,10,28,0.03829970620780345
linear,200,0.8,3.0,0.2,10,29,0.04940640249088175
quantile,200,0.8,3.0,0.2,10,29,0.0443643823461507
huber,200,0.8,3.0,0.2,10,29,0.032195751499117756
linear,200,0.8,5.0,0.2,1,0,0.01770476255736225
quantile,200,0.8,5.0,0.2,1,0,0.027836819828631853
huber,200,0.8,5.0,0.2,1,0,0.02388790035140167
linear,200,0.8,5.0,0.2,1,1,0.019046597721423243
quantile,200,0.8,5.0,0.2,1,1,0.026435052446323676
huber,200,0.8,5.0,0.2,1,1,0.020532520485581938
linear,200,0.8,5.0,0.2,1,2,0.03701284255765218
quantile,200,0.8,5.0,0.2,1,2,0.045029665448355155
huber,200,0.8,5.0,0.2,1,2,0.036757806751962635
linear,200,0.8,5.0,0.2,1,3,0.037978995414632864
quantile,200,0.8,5.0,0.2,1,3,0.04956898174484849
huber,200,0.8,5.0,0.2,1,3,0.043384096823540136
linear,200,0.8,5.0,0.2,1,4,0.04353256565869951
quantile,200,0.8,5.0,0.2,1,4,0.07339039275906133
huber,200,0.8,5.0,0.2,1,4,0.039056466007381274
linear,200,0.8,5.0,0.2,1,5,0.04028073496045265
quantile,200,0.8,5.0,0.2,1,5,0.03755819239382925
huber,200,0.8,5.0,0.2,1,5,0.0339409950082845
linear,200,0.8,5.0,0.2,1,6,0.03071579112418201
quantile,200,0.8,5.0,0.2,1,6,0.04204018243881995
huber,200,0.8,5.0,0.2,1,6,0.03713474130219124
linear,200,0.8,5.0,0.2,1,7,0.02987095092517723
quantile,200,0.8,5.0,0.2,1,7,0.039076653102587566
huber,200,0.8,5.0,0.2,1,7,0.032480353457438355
linear,200,0.8,5.0,0.2,1,8,0.02640237410733045
quantile,200,0.8,5.0,0.2,1,8,0.03655591936198431
huber,200,0.8,5.0,0.2,1,8,0.0323723773109623
linear,200,0.8,5.0,0.2,1,9,0.02813211669955515
quantile,200,0.8,5.0,0.2,1,9,0.0320807275351333
huber,200,0.8,5.0,0.2,1,9,0.023122150516061587
linear,200,0.8,5.0,0.2,1,10,0.03462408414364084
quantile,200,0.8,5.0,0.2,1,10,0.03548044975715555
huber,200,0.8,5.0,0.2,1,10,0.030193915638014917
linear,200,0.8,5.0,0.2,1,11,0.0303600424630558
quantile,200,0.8,5.0,0.2,1,11,0.0390620167913685
huber,200,0.8,5.0,0.2,1,11,0.03462370942691677
linear,200,0.8,5.0,0.2,1,12,0.022359135217533462
quantile,200,0.8,5.0,0.2,1,12,0.032502772283968515
huber,200,0.8,5.0,0.2,1,12,0.028368898345057188
linear,200,0.8,5.0,0.2,1,13,0.027415892390799286
quantile,200,0.8,5.0,0.2,1,13,0.03436469366838122
huber,200,0.8,5.0,0.2,1,13,0.03141536323374639
linear,200,0.8,5.0,0.2,1,14,0.02941576792227778
quantile,200,0.8,5.0,0.2,1,14,0.04314308237831777
huber,200,0.8,5.0,0.2,1,14,0.03176139346048718
linear,200,0.8,5.0,0.2,1,15,0.02856789433449266
quantile,200,0.8,5.0,0.2,1,15,0.034406534709956804
huber,200,0.8,5.0,0.2,1,15,0.023268822952910252
linear,200,0.8,5.0,0.2,1,16,0.018156038140164157
quantile,200,0.8,5.0,0.2,1,16,0.020945514812928924
huber,200,0.8,5.0,0.2,1,16,0.017870693126302843
linear,200,0.8,5.0,0.2,1,17,0.023281283824718703
quantile,200,0.8,5.0,0.2,1,17,0.028603151653146273
huber,200,0.8,5.0,0.2,1,17,0.022231573011988998
linear,200,0.8,5.0,0.2,1,18,0.02164546261740684
quantile,200,0.8,5.0,0.2,1,18,0.037357027567521496
huber,200,0.8,5.0,0.2,1,18,0.026927721534030113
linear,200,0.8,5.0,0.2,1,19,0.016638568053598285
quantile,200,0.8,5.0,0.2,1,19,0.02167229721350577
huber,200,0.8,5.0,0.2,1,19,0.01744254625134935
linear,200,0.8,5.0,0.2,1,20,0.028721349212704406
quantile,200,0.8,5.0,0.2,1,20,0.0330037356241424
huber,200,0.8,5.0,0.2,1,20,0.030695884684458042
linear,200,0.8,5.0,0.2,1,21,0.020760255896645596
quantile,200,0.8,5.0,0.2,1,21,0.0345573564809264
huber,200,0.8,5.0,0.2,1,21,0.023241925633325212
linear,200,0.8,5.0,0.2,1,22,0.025959562276452363
quantile,200,0.8,5.0,0.2,1,22,0.02552689564930105
huber,200,0.8,5.0,0.2,1,22,0.019761284014677576
linear,200,0.8,5.0,0.2,1,23,0.04340321993560912
quantile,200,0.8,5.0,0.2,1,23,0.04584579278544841
huber,200,0.8,5.0,0.2,1,23,0.035968305854568526
linear,200,0.8,5.0,0.2,1,24,0.029407546128451194
quantile,200,0.8,5.0,0.2,1,24,0.03901502279917222
huber,200,0.8,5.0,0.2,1,24,0.035683890351576174
linear,200,0.8,5.0,0.2,1,25,0.014809969230196526
quantile,200,0.8,5.0,0.2,1,25,0.02743688296575017
huber,200,0.8,5.0,0.2,1,25,0.024180650956975636
linear,200,0.8,5.0,0.2,1,26,0.02326330594551667
quantile,200,0.8,5.0,0.2,1,26,0.027764680182158073
huber,200,0.8,5.0,0.2,1,26,0.021418651754422022
linear,200,0.8,5.0,0.2,1,27,0.031256370299739336
quantile,200,0.8,5.0,0.2,1,27,0.03280471859911921
huber,200,0.8,5.0,0.2,1,27,0.024208961957460914
linear,200,0.8,5.0,0.2,1,28,0.03247128000459888
quantile,200,0.8,5.0,0.2,1,28,0.04550384996319849
huber,200,0.8,5.0,0.2,1,28,0.04049273577525343
linear,200,0.8,5.0,0.2,1,29,0.02313950652783727
quantile,200,0.8,5.0,0.2,1,29,0.03821185839732027
huber,200,0.8,5.0,0.2,1,29,0.02786026238321273
linear,200,0.8,5.0,0.2,5,0,0.02478631403312668
quantile,200,0.8,5.0,0.2,5,0,0.030953754623708918
huber,200,0.8,5.0,0.2,5,0,0.027972849383843902
linear,200,0.8,5.0,0.2,5,1,0.03341655382970708
quantile,200,0.8,5.0,0.2,5,1,0.04268067485747148
huber,200,0.8,5.0,0.2,5,1,0.039293709528556583
linear,200,0.8,5.0,0.2,5,2,0.02917990616831464
quantile,200,0.8,5.0,0.2,5,2,0.03901185876450185
huber,200,0.8,5.0,0.2,5,2,0.03158623912589522
linear,200,0.8,5.0,0.2,5,3,0.02159021355513125
quantile,200,0.8,5.0,0.2,5,3,0.026936381817223402
huber,200,0.8,5.0,0.2,5,3,0.02514210500781671
linear,200,0.8,5.0,0.2,5,4,0.01789139014235552
