method,n,ar,df,rho,SNR,rep,mse
huber,200,0.2,2.0,0.2,5,11,0.01182262841701627
linear,200,0.2,2.0,0.2,5,12,0.07205944365012046
quantile,200,0.2,2.0,0.2,5,12,0.010657662492923835
huber,200,0.2,2.0,0.2,5,12,0.008972629852272535
linear,200,0.2,2.0,0.2,5,13,0.026731655793452963
quantile,200,0.2,2.0,0.2,5,13,0.013904167962103819
huber,200,0.2,2.0,0.2,5,13,0.013975305850626485
linear,200,0.2,2.0,0.2,5,14,0.16544707063423875
quantile,200,0.2,2.0,0.2,5,14,0.021046761533685388
huber,200,0.2,2.0,0.2,5,14,0.01697451841401704
linear,200,0.2,2.0,0.2,5,15,0.02892582817153047
quantile,200,0.2,2.0,0.2,5,15,0.023471687486911127
huber,200,0.2,2.0,0.2,5,15,0.017704589148816466
linear,200,0.2,2.0,0.2,5,16,0.03937814358059429
quantile,200,0.2,2.0,0.2,5,16,0.026650108642372862
huber,200,0.2,2.0,0.2,5,16,0.02185770954784748
linear,200,0.2,2.0,0.2,5,17,0.030296189078173035
quantile,200,0.2,2.0,0.2,5,17,0.015925069009228625
huber,200,0.2,2.0,0.2,5,17,0.014340867558946563
linear,200,0.2,2.0,0.2,5,18,0.024668969253116062
quantile,200,0.2,2.0,0.2,5,18,0.02798423559937594
huber,200,0.2,2.0,0.2,5,18,0.01844350871369319
linear,200,0.2,2.0,0.2,5,19,0.024312792144055444
quantile,200,0.2,2.0,0.2,5,19,0.010963531541786307
huber,200,0.2,2.0,0.2,5,19,0.009567156122949439
linear,200,0.2,2.0,0.2,5,20,0.02707838586974496
quantile,200,0.2,2.0,0.2,5,20,0.012620265202828749
huber,200,0.2,2.0,0.2,5,20,0.007733922505380129
linear,200,0.2,2.0,0.2,5,21,0.025536447199781164
quantile,200,0.2,2.0,0.2,5,21,0.014713306419859901
huber,200,0.2,2.0,0.2,5,21,0.010260783312898992
linear,200,0.2,2.0,0.2,5,22,0.06733889903844915
quantile,200,0.2,2.0,0.2,5,22,0.015102155197129635
huber,200,0.2,2.0,0.2,5,22,0.01715287429336452
linear,200,0.2,2.0,0.2,5,23,0.07090149954576372
quantile,200,0.2,2.0,0.2,5,23,0.01589336433680056
huber,200,0.2,2.0,0.2,5,23,0.011878895883200685
linear,200,0.2,2.0,0.2,5,24,0.047935638751570066
quantile,200,0.2,2.0,0.2,5,24,0.019148190742883972
huber,200,0.2,2.0,0.2,5,24,0.015775374937427374
linear,200,0.2,2.0,0.2,5,25,0.04670489857197361
quantile,200,0.2,2.0,0.2,5,25,0.014000823209279136
huber,200,0.2,2.0,0.2,5,25,0.01302061020989408
linear,200,0.2,2.0,0.2,5,26,0.06415121383878741
quantile,200,0.2,2.0,0.2,5,26,0.013115712373806168
huber,200,0.2,2.0,0.2,5,26,0.014045628266273442
linear,200,0.2,2.0,0.2,5,27,0.04863556869723679
quantile,200,0.2,2.0,0.2,5,27,0.011229050492964066
huber,200,0.2,2.0,0.2,5,27,0.011927070857416797
linear,200,0.2,2.0,0.2,5,28,0.02320782559958547
quantile,200,0.2,2.0,0.2,5,28,0.015199891073785415
huber,200,0.2,2.0,0.2,5,28,0.011182217047627212
linear,200,0.2,2.0,0.2,5,29,0.03200990693961665
quantile,200,0.2,2.0,0.2,5,29,0.025151494018161413
huber,200,0.2,2.0,0.2,5,29,0.02218206889537217
linear,200,0.2,2.0,0.2,10,0,0.04238040945420975
quantile,200,0.2,2.0,0.2,10,0,0.016381554386806288
huber,200,0.2,2.0,0.2,10,0,0.019053546399061375
linear,200,0.2,2.0,0.2,10,1,0.015224407235990323
quantile,200,0.2,2.0,0.2,10,1,0.024042271608489672
huber,200,0.2,2.0,0.2,10,1,0.01769981274612111
linear,200,0.2,2.0,0.2,10,2,0.04186877159644328
quantile,200,0.2,2.0,0.2,10,2,0.009777773876299295
huber,200,0.2,2.0,0.2,10,2,0.01047465398351181
linear,200,0.2,2.0,0.2,10,3,0.024209307068223485
